Capacity_MW_,Latitude,Longitude,Albedo,MeanAAI,VegetationRatio,PopulationDensity,ProtectedAreaRatio,SlopeTopography,CloudCover,Surface Temperature,AverageDownwardRadiation,Unnamed: 12,Unnamed: 13,MinAlbedo,0,Unnamed: 16,AlbWeight,-2,Unnamed: 19,Cumulative Weight,Min,Normalised Cumulative Weight
0.458477622,47.0331,124.6805,267.2925459,-0.017723006,0.085236448,129.5420267,0,0.01877914,0.552884429,11.67722664,13259151.86,,,,,,,,,4.541905775,,0.391627412
0.458477622,46.0234,124.7347,267.2925459,-0.017723006,0.085236448,129.5420267,0,0.01877914,0.552884429,11.67722664,13259151.86,,,,,,,,,3.893917994,,0.340059305
0.482142566,46.1418,124.7992,256.4217764,-0.163337539,0,46.25075576,0,0.01877914,0.610342323,11.74742588,13171285.23,,,,,,,,,4.804234154,,0.412504007
0.36862071,35.4781,-80.3001,171.0482427,-0.349551997,0.007840055,50.04308551,0,0.1086521,0.371150563,11.7505666,9592502.982,,,,,,,,,1.96948756,,0.18690945
0.452579485,45.8916,124.732,260.8281605,0.068517664,0.215163326,96.87740625,0,0.018712612,0.557003043,11.75463475,13451960.11,,,,,,,,,1.96948756,,0.18690945
0.486006119,45.5445,124.7191,255.0709617,-0.03761858,0.030367562,49.0033223,0,0.018712612,0.607843535,11.79108673,13459758.86,,,,,,,,,1.96948756,,0.18690945
0.486006119,45.6114,124.8379,255.0709617,-0.03761858,0.030367562,49.0033223,0,0.018712612,0.607843535,11.79108673,13459758.86,,,,,,,,,4.767626954,,0.409590736
0.481517349,47.2395,122.8735,220.1898199,-0.077383609,0.021098065,20.21639427,0,0.01877914,0.546101553,11.79778184,13248292.11,,,,,,,,,4.823376766,,0.414027412
0.451442061,47.377,124.173,188.381354,-0.097040761,0.329619807,2623.937303,0,0.01877914,0.557722346,11.88517842,13121186.34,,,,,,,,,4.686346902,,0.403122314
0.467112741,46.0995,124.6979,273.377354,0.107267285,0,106.5771658,0,0.00738164,0.53364487,11.89212051,13432186.86,,,,,,,,,6.349542548,,0.535482604
0.478202555,46.7604,124.7953,237.5569831,-0.07771061,0.004173492,318.8572984,0,0.00738164,0.541647393,11.91128344,13306532.86,,,,,,,,,4.618873952,,0.397752687
0.487699509,45.878,125.7599,247.2788898,0.038727228,0.057681944,51.8743421,0,0.018712612,0.613391774,11.94066206,13479692.36,,,,,,,,,4.85390194,,0.416456664
0.490499949,46.2909,123.7283,225.2543232,-0.167728126,0.00392906,182.4506077,0,0.023895821,0.574800221,12.06986274,13248083.61,,,,,,,,,6.04378314,,0.511149686
0.083752607,42.2761,-82.9445,211.5486376,-0.33575343,0.006399987,305.2617187,0,0.065580025,0.380043768,12.23150324,9999,,,,,,,,,3.914550585,,0.341701286
0.501354255,46.0998,125.893,218.5369625,-0.047464003,0,41.90771589,0,0.04263477,0.576613597,12.28279176,13459085.86,,,,,,,,,5.380644827,,0.45837587
0.46387296,48.0001,128.0001,270.5645432,0.095425652,0.128826721,43.39520709,0,0.00738164,0.561369582,12.32930115,13441973.98,,,,,,,,,5.385335659,,0.458749176
0.402271905,32.4685,-100.2164,84.90068475,-0.477889654,0.003688169,37.25526767,0,0.026287489,0.346263508,12.45078916,9779146.732,,,,,,,,,5.385335659,,0.458749176
0.402271905,38.535,-77.097,84.90068475,-0.477889654,0.003688169,37.25526767,0,0.026287489,0.346263508,12.45078916,9779146.732,,,,,,,,,4.852736157,,0.416363889
0.402271905,36.8237,-86.8834,84.90068475,-0.477889654,0.003688169,37.25526767,0,0.026287489,0.346263508,12.45078916,9779146.732,,,,,,,,,4.852736157,,0.416363889
0.496532116,46.4139,125.341,220.5646413,-0.093967865,0.048410354,57.52836907,0,0.04263477,0.568248552,12.45978939,13477213.48,,,,,,,,,4.718666448,,0.405694365
0.496532116,46.4166,125.3422,220.5646413,-0.093967865,0.048410354,57.52836907,0,0.04263477,0.568248552,12.45978939,13477213.48,,,,,,,,,1.261002147,,0.130526826
0.511079537,46.275,123.692,196.7060498,-0.087049003,0.001603742,57.52836741,0,0.04263477,0.571592358,12.57212683,13477213.48,,,,,,,,,5.16950941,,0.44157331
0.557160544,42.1754,117.1248,202.9205636,-0.256435749,0,4.798577646,0,0.096653841,0.602292898,12.60670902,14772064.98,,,,,,,,,3.576550991,,0.314802632
0.460838424,46.714,130.988,161.7791541,-0.109083882,0.336148184,8575.857324,0,0.080612317,0.56185073,12.67097173,13306046.98,,,,,,,,,3.576550991,,0.314802632
0.359183126,45.3623,-68.5051,168.0511946,-0.354738868,0.083838603,526.6834111,0,0.1086521,0.33926557,12.67960199,9464688.232,,,,,,,,,4.492504396,,0.387695956
0.466947867,47.3847,130.3323,269.413999,-0.139863761,0.005450247,187.3678014,0,0.080612317,0.512907263,12.74111069,13044197.73,,,,,,,,,4.492504396,,0.387695956
0.330491746,50.0992,-112.848,377.3554011,-0.243359301,0.000711429,2.040170581,0,0.176949367,0.50620698,12.84082898,9301683.607,,,,,,,,,5.284252608,,0.450704793
0.469404516,47.1831,124.8695,256.4400597,0.029313831,0.17086751,72.78451233,0,0.00738164,0.566570698,12.84895464,13404868.23,,,,,,,,,5.604280369,,0.476173215
0.469404516,46.731,124.867,256.4400597,0.029313831,0.17086751,72.78451233,0,0.00738164,0.566570698,12.84895464,13404868.23,,,,,,,,,5.281138147,,0.450456938
0.469404516,47.1831,124.8695,256.4400597,0.029313831,0.17086751,72.78451233,0,0.00738164,0.566570698,12.84895464,13404868.23,,,,,,,,,6.696245465,,0.563073886
0.344696131,52.5767,-110.3013,317.0092589,-0.2979385,0.000714495,4.231865561,0,0.103407159,0.479582908,12.90546762,9356763.211,,,,,,,,,5.434178281,,0.462636165
0.342738884,36.1897,-119.9042,288.6878045,-0.275119565,0,5.76585288,0,0.007136164,0.409092986,12.9467836,9578206.357,,,,,,,,,5.772910158,,0.489593096
0.487706317,48.0001,128.0001,228.3988226,-0.02209292,0.120545199,60.50058753,0,0.017964634,0.575489419,13.08453264,13355115.61,,,,,,,,,5.414300182,,0.461054228
0.382855109,34.9923,-117.542,174.4057588,-0.368330683,0,1.643855934,0,0.136588052,0.338547443,13.08525513,9819783.607,,,,,,,,,3.521620875,,0.310431189
0.461328461,0.9509,-79.6517,126.77007,-1.107882825,0,12.91725448,0,0.985148549,0.115137659,13.34158483,11647665.86,,,,,,,,,5.536808169,,0.470803648
0.605172685,40.225,97.772,158.0821503,-0.477315916,0,2.464247882,0,0.24074547,0.477594026,13.36770811,16163135.48,,,,,,,,,5.381923399,,0.458477622
0.402238395,37.8271,-113.1371,148.475156,-0.391204564,0,0,0,0.054154217,0.383288538,13.51500083,9895594.732,,,,,,,,,5.381923399,,0.458477622
0.511772166,46.279,123.603,222.2827782,-0.053709112,0,57.5283718,0,0.04263477,0.570761724,13.58769607,13480520.86,,,,,,,,,5.679289267,,0.482142566
0.454035906,39.7409,116.0304,107.0202757,-0.520713775,0,27.54133948,0,0.198795855,0.229560086,13.67952229,11879172.08,,,,,,,,,4.252811155,,0.36862071
0.393186881,36.0356,114.5566,194.0038398,-0.096152811,0.371395607,29816.01065,0,0.01877914,0.540880459,13.69254497,13255730.36,,,,,,,,,5.307809362,,0.452579485
0.405063505,36.1532,-120.1045,167.5744069,-0.372833099,0,1.690660589,0,0.136588052,0.404080704,13.71387129,9882729.107,,,,,,,,,5.727837395,,0.486006119
0.421996994,41.33,-82.815,137.5013916,-0.41584077,0.002337603,9.191188031,0,0.123676077,0.406239123,13.77417271,10106885.36,,,,,,,,,5.727837395,,0.486006119
0.426369705,46.6527,126.9714,195.8452191,-0.09689008,0.334336893,19018.7575,0,0.01877914,0.54693654,13.81102794,13255730.36,,,,,,,,,5.671432996,,0.481517349
0.480870923,47.863,123.478,219.4345635,0.01248911,0.283541459,255.3581967,0,0.00738164,0.586584876,13.88123291,13350306.98,,,,,,,,,5.293516867,,0.451442061
0.480870923,47.3847,130.3323,219.4345635,0.01248911,0.283541459,255.3581967,0,0.00738164,0.586584876,13.88123291,13350306.98,,,,,,,,,5.490429458,,0.467112741
0.414858393,39.6725,-83.0373,138.1807954,-0.428657173,0.001701776,71.38059845,0,0.100444555,0.353853681,13.8949893,10205566.74,,,,,,,,,5.629780392,,0.478202555
0.514907512,47.2701,124.0514,224.4987798,-0.090512716,0.006058706,162.4173286,0,0.01877914,0.61219325,14.07578472,13244541.74,,,,,,,,,5.749115976,,0.487699509
0.514907512,46.833,125.016,224.4987798,-0.090512716,0.006058706,162.4173286,0,0.01877914,0.61219325,14.07578472,13244541.74,,,,,,,,,5.784305375,,0.490499949
0.455214136,46.9378,125.1756,206.560272,-0.069401308,0.414623325,333.0816853,0,0.023895821,0.506204275,14.08249653,13208745.23,,,,,,,,,0.673252776,,0.083752607
0.455214136,46.1418,124.7992,206.560272,-0.069401308,0.414623325,333.0816853,0,0.023895821,0.506204275,14.08249653,13208745.23,,,,,,,,,5.92069699,,0.501354255
0.397964748,44.6378,-69.5031,183.240303,-0.33868105,0.024754967,366.552441,0,0.164768934,0.393842833,14.08938208,9853704.732,,,,,,,,,5.449719439,,0.46387296
0.643358302,38.104,101.858,131.3111754,-0.339417951,0,113.4692119,0,0.519299865,0.549457591,14.09382641,16079697.61,,,,,,,,,4.675660948,,0.402271905
